Gamma_Counts "Np Column Density (cm^-2)" "Gamma error" "Np Error"
13.6781 9.275848000000002 3.6983915422788867 1.1411991266671435
15.0952 4.499836 3.8852541744395563 1.1411991266671435
10.5902 3.2570272 3.2542587481637044 1.1411991266671435
12.255 5.0406504 3.500714212842859 1.1411991266671435
14.799 4.857398399999999 3.846946841327548 1.1411991266671435
11.6766 3.937996 3.417104037046575 1.1411991266671435
13.7235 5.959784 3.7045242609544347 1.1411991266671435
11.5157 5.791936 3.3934790407485944 1.1411991266671435
8.66958 2.202244 2.944415052264201 1.1411991266671435
