Gamma_Counts "Np Column Density (cm^-2)" "Gamma error" "Np Error"
15.5085 4.4517240000000005 3.9380832901298573 1.1411991266671435
13.1768 6.399412 3.6299862258691835 1.1411991266671435
14.3856 3.801338 3.792835351026986 1.1411991266671435
18.4059 3.464804 4.290209785080445 1.1411991266671435
17.1428 1.988056 4.140386455392782 1.1411991266671435
10.8174 5.265876 3.2889816052997314 1.1411991266671435
12.6639 0.880896 3.558637379672169 1.1411991266671435
16.9222 4.0272696 4.113660170699569 1.1411991266671435
15.9867 11.212479999999998 3.9983371543680506 1.1411991266671435
