Gamma_Counts "HI Column Density (cm^-2)" "Gamma error" "HI Error"
16.8456 4.45e+21 4.1043391672716325 8.316758593101941e+18
8.58153 3.2e+21 2.9294248582272937 8.316758593101941e+18
4.86296 3.34e+21 2.2052120079484423 8.316758593101941e+18
10.1835 4.59e+21 3.191159663821289 8.316758593101941e+18
6.87907 3.45e+21 2.6227981241414673 8.316758593101941e+18
8.12502 3.77e+21 2.850442070977763 8.316758593101941e+18
11.9461 3.34e+21 3.4563130645241036 8.316758593101941e+18
6.01255 4.2e+21 2.452050162619028 8.316758593101941e+18
4.39701 4.1900000000000005e+21 2.0969048619334165 8.316758593101941e+18
