Gamma_Counts "HI Column Density (cm^-2)" "Gamma error" "HI Error"
13.6781 5.44e+21 3.6983915422788867 8.316758593101941e+18
15.0952 5.08e+21 3.8852541744395563 8.316758593101941e+18
10.5902 3.38e+21 3.2542587481637044 8.316758593101941e+18
12.255 5.25e+21 3.500714212842859 8.316758593101941e+18
14.799 4.67e+21 3.846946841327548 8.316758593101941e+18
11.6766 3.22e+21 3.417104037046575 8.316758593101941e+18
13.7235 4.58e+21 3.7045242609544347 8.316758593101941e+18
11.5157 3.37e+21 3.3934790407485944 8.316758593101941e+18
8.66958 3.2e+21 2.944415052264201 8.316758593101941e+18
