Gamma_Counts "HI Column Density (cm^-2)" "Gamma error" "HI Error"
13.2461 4.2300000000000005e+21 3.6395191990151665 8.316758593101941e+18
11.247 4.66e+21 3.353654722835969 8.316758593101941e+18
11.7741 4.55e+21 3.431340845791919 8.316758593101941e+18
11.7083 4.0999999999999995e+21 3.42173932379426 8.316758593101941e+18
12.4064 4.54e+21 3.5222719940402105 8.316758593101941e+18
16.0293 4.66e+21 4.003660824795228 8.316758593101941e+18
11.3623 4.1900000000000005e+21 3.3708010917287896 8.316758593101941e+18
8.07665 4.67e+21 2.841944756676315 8.316758593101941e+18
8.84826 4.84e+21 2.9746024944519895 8.316758593101941e+18
