Gamma_Counts "HI Column Density (cm^-2)" "Gamma error" "HI Error"
7.00189 4.04e+21 2.64610846338543 8.316758593101941e+18
13.3655 5.2e+21 3.6558856656082668 8.316758593101941e+18
21.3861 5.05e+21 4.624510784937148 8.316758593101941e+18
7.34409 5.3e+21 2.7099981549809216 8.316758593101941e+18
17.354 5.2e+21 4.1658132459341 8.316758593101941e+18
16.9125 5.22e+21 4.112481002995637 8.316758593101941e+18
9.9177 5.32e+21 3.1492380030731244 8.316758593101941e+18
13.7743 5.36e+21 3.7113744084907414 8.316758593101941e+18
13.521 5.22e+21 3.677091241728984 8.316758593101941e+18
