Gamma_Counts "HI Column Density (cm^-2)" "Gamma error" "HI Error"
8.85456 4.21e+21 2.9756612710454795 8.316758593101941e+18
16.1149 5.16e+21 4.014336806995646 8.316758593101941e+18
20.1159 4.3899999999999995e+21 4.485075250204839 8.316758593101941e+18
2.51256 4.2e+21 1.58510567471068 8.316758593101941e+18
7.78395 4.98e+21 2.7899731181500655 8.316758593101941e+18
8.78214 4.75e+21 2.963467563514067 8.316758593101941e+18
1.29994 3.42e+21 1.1401491130549548 8.316758593101941e+18
0.782619 3.71e+21 0.8846575608674805 8.316758593101941e+18
4.78927 3.53e+21 2.1884400837125972 8.316758593101941e+18
