"Nanten Brightness Temp" "Mopra Brightness Temp" "Nanten error" "Mopra Error"
10.674999999999999 11.7412 1.176696810829104 2.8322059201851038
13.225000000000001 15.0893 1.176696810829104 2.8322059201851038
10.049999999999999 7.78606 1.176696810829104 2.8322059201851038
11.35 8.80338 1.176696810829104 2.8322059201851038
10.900000000000002 14.8317 1.176696810829104 2.8322059201851038
11.35 7.67371 1.176696810829104 2.8322059201851038
27.225000000000005 31.0983 1.176696810829104 2.8322059201851038
14.724999999999998 25.4156 1.176696810829104 2.8322059201851038
14.05 13.0115 1.176696810829104 2.8322059201851038
12.975000000000001 18.0082 1.176696810829104 2.8322059201851038
11.45 16.1628 1.176696810829104 2.8322059201851038
12.9 15.3493 1.176696810829104 2.8322059201851038
15.25 14.4957 1.176696810829104 2.8322059201851038
10.149999999999999 7.95979 1.176696810829104 2.8322059201851038
10.175 10.5884 1.176696810829104 2.8322059201851038
10.1 15.065 1.176696810829104 2.8322059201851038
19.8 19.8316 1.176696810829104 2.8322059201851038
26.724999999999998 32.758 1.176696810829104 2.8322059201851038
14.524999999999999 19.2954 1.176696810829104 2.8322059201851038
11.425 23.0171 1.176696810829104 2.8322059201851038
20.275 24.0308 1.176696810829104 2.8322059201851038
17.55 21.7173 1.176696810829104 2.8322059201851038
12.825 23.6912 1.176696810829104 2.8322059201851038
11.15 2.54622 1.176696810829104 2.8322059201851038
18.45 27.0024 1.176696810829104 2.8322059201851038
25.924999999999997 32.9536 1.176696810829104 2.8322059201851038
14.274999999999999 10.4798 1.176696810829104 2.8322059201851038
16.674999999999997 14.088 1.176696810829104 2.8322059201851038
17.0 11.1537 1.176696810829104 2.8322059201851038
17.775000000000002 24.5144 1.176696810829104 2.8322059201851038
12.65 17.8096 1.176696810829104 2.8322059201851038
10.6 14.577 1.176696810829104 2.8322059201851038
12.55 11.204 1.176696810829104 2.8322059201851038
11.55 20.2368 1.176696810829104 2.8322059201851038
12.9 21.0972 1.176696810829104 2.8322059201851038
13.3 17.3553 1.176696810829104 2.8322059201851038
10.425 7.88959 1.176696810829104 2.8322059201851038
14.65 16.671 1.176696810829104 2.8322059201851038
21.05 23.7598 1.176696810829104 2.8322059201851038
23.35 15.8003 1.176696810829104 2.8322059201851038
10.85 6.50309 1.176696810829104 2.8322059201851038
34.3 48.6222 1.176696810829104 2.8322059201851038
13.35 14.1139 1.176696810829104 2.8322059201851038
13.225000000000001 11.4789 1.176696810829104 2.8322059201851038
33.075 34.9246 1.176696810829104 2.8322059201851038
24.049999999999997 29.0558 1.176696810829104 2.8322059201851038
19.325000000000003 27.2455 1.176696810829104 2.8322059201851038
26.6 33.2901 1.176696810829104 2.8322059201851038
22.1 22.656 1.176696810829104 2.8322059201851038
15.95 18.7446 1.176696810829104 2.8322059201851038
11.95 12.3684 1.176696810829104 2.8322059201851038
16.5 13.6523 1.176696810829104 2.8322059201851038
30.7 40.935 1.176696810829104 2.8322059201851038
14.225000000000001 18.8953 1.176696810829104 2.8322059201851038
10.774999999999999 17.5122 1.176696810829104 2.8322059201851038
15.9 12.3659 1.176696810829104 2.8322059201851038
31.249999999999996 37.9402 1.176696810829104 2.8322059201851038
11.95 16.8224 1.176696810829104 2.8322059201851038
22.999999999999996 27.7914 1.176696810829104 2.8322059201851038
19.25 26.2302 1.176696810829104 2.8322059201851038
13.55 21.595 1.176696810829104 2.8322059201851038
22.000000000000004 38.735 1.176696810829104 2.8322059201851038
10.575000000000001 7.78481 1.176696810829104 2.8322059201851038
12.65 10.2879 1.176696810829104 2.8322059201851038
10.900000000000002 16.9783 1.176696810829104 2.8322059201851038
12.2 14.9469 1.176696810829104 2.8322059201851038
10.774999999999999 16.0693 1.176696810829104 2.8322059201851038
20.299999999999997 24.4374 1.176696810829104 2.8322059201851038
14.3 17.5433 1.176696810829104 2.8322059201851038
15.0 15.6248 1.176696810829104 2.8322059201851038
15.024999999999999 20.4218 1.176696810829104 2.8322059201851038
14.25 16.967 1.176696810829104 2.8322059201851038
13.124999999999998 17.5572 1.176696810829104 2.8322059201851038
