Gamma_Counts "Np Column Density (cm^-2)" "Gamma error" "Np Error"
8.85456 4.3 2.9756612710454795 0.4789954829247436
16.1149 5.26 4.014336806995646 0.4789954829247436
20.1159 4.59 4.485075250204839 0.4789954829247436
2.51256 7.51 1.58510567471068 0.4789954829247436
7.78395 6.8 2.7899731181500655 0.4789954829247436
8.78214 5.84 2.963467563514067 0.4789954829247436
1.29994 5.38 1.1401491130549548 0.4789954829247436
0.782619 4.15 0.8846575608674805 0.4789954829247436
4.78927 4.97 2.1884400837125972 0.4789954829247436
