Gamma_Counts "Np Column Density (cm^-2)" "Gamma error" "Np Error"
4.181 15.66 2.0447493733951845 0.4789954829247436
7.4135 10.53 2.7227743204312764 0.4789954829247436
4.88975 10.43 2.211277911073142 0.4789954829247436
11.4826 9.8 3.3885985303662043 0.4789954829247436
11.675 7.74 3.4168699126539774 0.4789954829247436
16.781 9.44 4.096461888019953 0.4789954829247436
22.7932 7.93 4.774222449781744 0.4789954829247436
21.5975 6.15 4.6473110504893045 0.4789954829247436
18.0213 9.81 4.245150174022116 0.4789954829247436
