Gamma_Counts "Np Column Density (cm^-2)" "Gamma error" "Np Error"
19.7987 12.79 4.44957301322273 0.4789954829247436
17.2698 15.96 4.155694887741399 0.4789954829247436
11.8368 13.85 3.4404650848395484 0.4789954829247436
25.6914 11.54 5.068668464202409 0.4789954829247436
19.3011 10.06 4.393301719663698 0.4789954829247436
8.05378 11.66 2.837918251112953 0.4789954829247436
23.3368 17.02 4.8308177361602045 0.4789954829247436
14.2141 10.69 3.7701591478344785 0.4789954829247436
5.6072 9.57 2.3679527022303466 0.4789954829247436
