Gamma_Counts "Np Column Density (cm^-2)" "Gamma error" "Np Error"
13.6781 5.95 3.6983915422788867 0.4789954829247436
15.0952 5.07 3.8852541744395563 0.4789954829247436
10.5902 4.49 3.2542587481637044 0.4789954829247436
12.255 5.65 3.500714212842859 0.4789954829247436
14.799 4.79 3.846946841327548 0.4789954829247436
11.6766 3.23 3.417104037046575 0.4789954829247436
13.7235 4.88 3.7045242609544347 0.4789954829247436
11.5157 4.01 3.3934790407485944 0.4789954829247436
8.66958 3.39 2.944415052264201 0.4789954829247436
