232995181.052  1.5486714582e+47
1035872067.64  1.5486714582e+47
10730309405.3  1.56814675194e+47
50591974884.4  1.56814675194e+47
101181716053  1.58786695695e+47
247091122799  1.56814675194e+47
477058269614  1.58786695695e+47
1.01181716053e+12  1.56814675194e+47
5.17947467923e+12  1.60783515308e+47
9.5409547635e+12  1.62805445895e+47
1.90814882787e+13  1.52943803407e+47
2.87861559235e+13  1.52943803407e+47
4.60537825582e+13  1.41895112131e+47
8.58367902456e+13  1.25225666377e+47
1.04811313415e+14  1.07786519993e+47
1.49097165718e+14  7.59621091766e+46
1.95351309388e+14  5.42072016009e+46
2.62039852886e+14  3.63395812559e+46
3.55648030622e+14  2.40588819377e+46
4.14330533102e+14  1.80486634783e+46
5.49282696845e+14  1.12254440039e+46
6.94763084632e+14  7.33958732149e+45
8.58367902456e+14  4.92033386667e+45
1.03587206764e+15  2.98468316584e+45
1.16500162359e+15  2.12989507321e+45
1.42252931349e+15  1.32469741636e+45
