Gamma_Counts "Mopra_Gas_Density(K km/s)" "Gamma error" "Mopra Error"
11.1503 3.48369 3.3392064925667593 2.8322059201851038
14.1883 4.64145 3.766735987562707 2.8322059201851038
19.6845 8.50441 4.436721762743298 2.8322059201851038
11.7387 5.16387 3.4261786293186756 2.8322059201851038
12.0732 9.89604 3.4746510616175548 2.8322059201851038
17.8496 11.204 4.2248786964834855 2.8322059201851038
12.3481 11.783 3.5139863403263254 2.8322059201851038
17.6528 7.12358 4.201523533196024 2.8322059201851038
20.2043 8.24531 4.494919354115266 2.8322059201851038
