Gamma_Counts "Mopra_Gas_Density(K km/s)" "Gamma error" "Mopra Error"
7.00189 -0.227374 2.64610846338543 2.8322059201851038
13.3655 9.42287 3.6558856656082668 2.8322059201851038
21.3861 2.67446 4.624510784937148 2.8322059201851038
7.34409 5.8013 2.7099981549809216 2.8322059201851038
17.354 7.3384 4.1658132459341 2.8322059201851038
16.9125 -8.35218 4.112481002995637 2.8322059201851038
9.9177 2.49364 3.1492380030731244 2.8322059201851038
13.7743 -2.86836 3.7113744084907414 2.8322059201851038
13.521 1.33593 3.677091241728984 2.8322059201851038
