Gamma_Counts "Mopra_Gas_Density(K km/s)" "Gamma error" "Mopra Error"
13.6781 9.58962 3.6983915422788867 2.8322059201851038
15.0952 -1.45041 3.8852541744395563 2.8322059201851038
10.5902 -0.307432 3.2542587481637044 2.8322059201851038
12.255 -0.523374 3.500714212842859 2.8322059201851038
14.799 0.468496 3.846946841327548 2.8322059201851038
11.6766 1.79499 3.417104037046575 2.8322059201851038
13.7235 3.44946 3.7045242609544347 2.8322059201851038
11.5157 6.05484 3.3934790407485944 2.8322059201851038
8.66958 -2.49439 2.944415052264201 2.8322059201851038
