Gamma_Counts "Mopra_Gas_Density(K km/s)" "Gamma error" "Mopra Error"
35.7445 15.065 5.978670420754099 2.8322059201851038
30.8668 6.77235 5.555789772840582 2.8322059201851038
19.9371 19.6706 4.4650979832474 2.8322059201851038
35.051 13.475 5.9203885007658075 2.8322059201851038
26.4016 4.04696 5.138248728895867 2.8322059201851038
16.3615 17.7652 4.044935104547414 2.8322059201851038
20.2191 13.2546 4.496565355913333 2.8322059201851038
13.8082 5.55235 3.7159386431963592 2.8322059201851038
15.3457 8.65831 3.9173588040923697 2.8322059201851038
