Np_Col_Dens(cm^-2) Suzaku_Xrays(excess_counts) "Np error" "Suzaku Error"
3.3320000000000002e+22 2.09e-07 6.603890082898384e+20 1.3933333333333334e-08
3.304e+22 5.22e-07 6.603890082898384e+20 3.48e-08
3.2759999999999994e+22 1.15e-06 6.603890082898384e+20 7.666666666666668e-08
4.0879999999999996e+22 1.17e-06 6.603890082898384e+20 7.8e-08
1.8507999999999997e+22 1.54e-06 6.603890082898384e+20 1.0266666666666669e-07
2.4555999999999997e+22 6.25e-07 6.603890082898384e+20 4.1666666666666676e-08
2.2007999999999998e+22 3.12e-07 6.603890082898384e+20 2.08e-08
3.4159999999999996e+22 2.17e-06 6.603890082898384e+20 1.4466666666666667e-07
1.8703999999999998e+22 1.08e-06 6.603890082898384e+20 7.200000000000001e-08
2.576e+22 -1.53e-08 6.603890082898384e+20 1.0200000000000002e-09
2.6347999999999997e+22 6.78e-12 6.603890082898384e+20 4.5200000000000004e-13
2.9399999999999994e+22 8.33e-13 6.603890082898384e+20 5.553333333333334e-14
2.436e+22 -2.8e-12 6.603890082898384e+20 1.866666666666667e-13
2.968e+22 4.54e-06 6.603890082898384e+20 3.026666666666667e-07
2.4528e+22 1.16e-05 6.603890082898384e+20 7.733333333333334e-07
2.5563999999999997e+22 2.11e-05 6.603890082898384e+20 1.4066666666666668e-06
3.4440000000000002e+22 1.99e-05 6.603890082898384e+20 1.3266666666666667e-06
1.8871999999999998e+22 1.8e-05 6.603890082898384e+20 1.2000000000000002e-06
2.2987999999999997e+22 6.4e-06 6.603890082898384e+20 4.266666666666667e-07
2.212e+22 4.87e-06 6.603890082898384e+20 3.246666666666667e-07
1.5904e+22 2.96e-05 6.603890082898384e+20 1.9733333333333336e-06
2.8840000000000002e+22 1.56e-05 6.603890082898384e+20 1.04e-06
2.3464e+22 1.31e-06 6.603890082898384e+20 8.733333333333333e-08
1.3608e+22 9.27e-07 6.603890082898384e+20 6.18e-08
2.1056e+22 4.04e-09 6.603890082898384e+20 2.693333333333334e-10
1.8004000000000001e+22 -2.46e-10 6.603890082898384e+20 1.64e-11
3.947999999999999e+22 1.52e-05 6.603890082898384e+20 1.0133333333333333e-06
2.394e+22 1.93e-05 6.603890082898384e+20 1.2866666666666667e-06
1.9543999999999998e+22 1.96e-05 6.603890082898384e+20 1.3066666666666665e-06
2.5815999999999998e+22 1.35e-05 6.603890082898384e+20 9e-07
2.2568e+22 1.44e-05 6.603890082898384e+20 9.6e-07
2.52e+22 1.29e-05 6.603890082898384e+20 8.600000000000001e-07
1.2964e+22 1.82e-05 6.603890082898384e+20 1.2133333333333333e-06
2.856e+22 3.28e-05 6.603890082898384e+20 2.1866666666666668e-06
2.5367999999999998e+22 2.47e-05 6.603890082898384e+20 1.6466666666666666e-06
2.1168e+22 3.52e-05 6.603890082898384e+20 2.346666666666667e-06
