PCC pvalue significant(2sig)?
0.521863266308 0.14496419946 No
-0.286296084909 0.44954360469 No
-0.710221998941 0.0285741065354 Yes
0.804732152915 0.0071275284794 Yes
0.0928088396006 0.81261451178 No
-0.001780037943 0.996124425976 No
0.00661426209718 0.988390880578 No
0.0172982129488 0.965201550099 No
0.38512605393 0.301271164967 No
0.114815564642 0.768140807479 No
-0.042885971162 0.911270173511 No
0.537866399154 0.13046965799 No
-0.0172857776358 0.965201550099 No
-0.743588045403 0.0185583305136 Yes
0.343953024881 0.362795031897 No
0.802303638521 0.0074462154965 Yes
-0.110189963509 0.77549507904 No
0.558912013174 0.112082316821 No
0.126279591104 0.746230228121 No
0.0148008615193 0.972928573762 No
0.488795444035 0.175834177845 No
0.43976571184 0.23143070515 No
-0.61800249193 0.0716607302425 No
-0.251407829073 0.512687921101 No
0.115753684744 0.768140807479 No
-0.0153080420817 0.965201550099 No
0.236554039918 0.536970767081 No
0.0394041318623 0.918951732757 No
-0.400988898511 0.281410822687 No
