PCC pvalue significant?
0.30048135 0.0015792542064961995 Yes
-0.25278276 0.0026797587388796246 Yes
-0.18353954 0.03887425496261892 No
0.13506567 0.13157571366745874 No
0.28811598 0.006181923447733711 No
0.21504141 0.009902954456320145 No
0.2558319 0.0007874239294248175 Yes
-0.16468841 0.041247201111649874 No
0.14678569 0.05686071140981739 No
0.33091608 1.254122127286708e-05 Yes
0.21306731 0.022841996123023265 No
0.21062644 0.006960103020228008 No
-0.17465016 0.023558433520442765 No
0.037720878 0.6294515705632453 No
0.11742849 0.1283838241194219 No
-0.046122495 0.5515364086404859 No
0.07307883 0.4522759270838238 No
0.12347227 0.11522052638777734 No
0.020716948 0.7898186257492094 No
0.07306411 0.4199856378342044 No
0.68782604 5.171543728864428e-25 Yes
-0.12936282 0.19728585787422034 No
-0.19229801 0.05915822060360514 No
-0.21772295 0.006678248948038908 No
-0.079691015 0.30304126300554196 No
0.13131012 0.08880434679325422 No
0.5265351 1.9412906776193866e-13 Yes
-0.0844916 0.6946673289611198 No
-0.3947819 6.225839588275027e-06 Yes
