"Np Column Density (Nanten)" "Np Column Density (Mopra)" "Nanten error" "Mopra Error"
5.58 -0.16635999999999973 0.4789954829247436 1.1411991266671435
7.63 7.79536 0.4789954829247436 1.1411991266671435
5.86 5.219744 0.4789954829247436 1.1411991266671435
6.48 3.454832 0.4789954829247436 1.1411991266671435
5.99 2.758368 0.4789954829247436 1.1411991266671435
8.12 6.410888 0.4789954829247436 1.1411991266671435
8.84 6.485384 0.4789954829247436 1.1411991266671435
5.33 3.84406 0.4789954829247436 1.1411991266671435
5.61 7.761832 0.4789954829247436 1.1411991266671435
